Topic,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30
0,know,want,terrorist,state,thing,bad,psoe,left,party,people,go,government,let,political,pp,evidence,corruption,level,say,talk,right,nazi,law,vote,case,year,judge,take,point,good
1,pay,people,public,price,money,year,private,want,housing,know,spain,problem,madrid,go,taxis,health,area,like,charge,think,rent,will,live,worker,ask,happen,low,new,company,raise
2,go,know,government,say,de,information,case,tell,lie,leak,maz칩n,el,spy,police,news,pp,alert,people,sanchez,time,criticize,talk,take,s치nchez,opinion,well,ask,psoe,article,give
3,attack,message,withdraw,user,personally,change,aggressive,insulting,law,journalist,violence,want,russia,like,terrorism,country,think,nato,eu,spain,terrorist,promise,university,racist,enter,exist,say,tolerate,murder,monarchy
4,work,change,thing,problem,public,people,case,pension,come,know,government,like,bad,build,time,vat,care,want,state,country,news,happen,well,housing,review,capitalism,law,house,little,take
5,government,give,emergency,people,pp,vote,say,day,thing,valencian,come,central,complaint,medium,hour,talk,general,situation,steal,want,year,poverty,opportunity,ministry,resource,increase,budget,happen,consider,denounce
6,like,right,know,think,people,good,country,thing,work,spain,read,moderator,want,problem,go,question,law,look,politic,study,come,way,action,news,time,see,tell,case,comment,happen
7,pp,right,vote,go,psoe,know,vox,party,left,think,come,government,political,leave,like,ayuso,people,thing,good,maz칩n,wing,democracy,case,power,election,s치nchez,oh,time,win,want
8,party,government,know,like,people,thing,vote,political,time,think,year,right,pp,community,state,law,psoe,say,ask,go,come,spain,president,comment,want,happen,continue,majority,country,basque
9,people,eta,go,country,year,right,want,spain,know,like,think,thing,come,work,leave,say,putin,day,crime,look,spanish,little,give,government,stop,need,kill,war,group,talk
